10/2/2023,,12/18/2023,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1.ÿÿÿ An lisis legal de normas ,4,06/02/2023,09/02/2023,,,0,4,,,,,,4,1,4
1.1. Nacionales,2,06/02/2023,07/02/2023,,,0,2,,,,,,2,1,2
1.2. Internacionales,2,08/02/2023,09/02/2023,,,3,5,,,,,,2,3,4
2.ÿÿÿ Dise¤o y Gesti¢n de espacios,77,10/02/2023,06/06/2023,,,5,82,,,,,,77,5,121
2.1. Dise¤o de pistas de Aterrizaje ,3,10/02/2023,14/02/2023,,,82,85,,,,,,3,5,9
2.2. Dise¤o torre de control,4,15/02/2023,20/02/2023,,,85,89,,,,,,4,10,15
2.3. Dise¤o de edificio Vuelos nacionales,30,21/02/2023,04/04/2023,,,89,119,,,,,,30,16,58
2.3.1.ÿ Bah¡a de parqueo aviones,1,21/02/2023,21/02/2023,,,119,120,,,,,,1,16,16
2.3.2.ÿ Check in aerol¡neas,2,22/02/2023,23/02/2023,,,120,122,,,,,,2,17,18
2.3.3.ÿ Zona de llegada,3,24/02/2023,28/02/2023,,,122,125,,,,,,3,19,23
2.3.4.ÿ Zona de salida,3,01/03/2023,03/03/2023,,,125,128,,,,,,3,24,26
2.3.5.ÿ Zona comercial,2,06/03/2023,07/03/2023,,,128,130,,,,,,2,29,30
2.3.6.ÿ Zona Espera,1,08/03/2023,08/03/2023,,,130,131,,,,,,1,31,31
2.3.7.ÿÿÿ Asesores y escaleras ,2,09/03/2023,10/03/2023,,,131,133,,,,,,2,32,33
2.3.8.ÿÿÿ Entradas y Salidas (Incluyendo emergencias),1,13/03/2023,13/03/2023,,,133,134,,,,,,1,36,36
2.3.9.ÿÿÿ Cuarto Telecomunicaciones,2,14/03/2023,15/03/2023,,,134,136,,,,,,2,37,38
2.3.10.  Zona medica,1,16/03/2023,16/03/2023,,,136,137,,,,,,1,39,39
2.3.11.  Seguridad,4,17/03/2023,20/03/2023,,,137,141,,,,,,4,40,43
2.3.11.1.ÿÿ Polic¡a,1,17/03/2023,17/03/2023,,,141,142,,,,,,1,40,40
2.3.11.2.ÿÿ Aduana,1,21/03/2023,21/03/2023,,,142,143,,,,,,1,44,44
2.3.11.3.ÿÿ C maras,1,22/03/2023,22/03/2023,,,143,144,,,,,,1,45,45
2.3.11.4.ÿÿ Sistema de Incendio,1,23/03/2023,23/03/2023,,,144,145,,,,,,1,46,46
2.3.12. Almac‚n,1,24/03/2023,24/03/2023,,,145,146,,,,,,1,47,47
2.3.13. Ba¤os,1,27/03/2023,27/03/2023,,,146,147,,,,,,1,50,50
