type	latitude	longitude	altitude (m)	name	desc
T	4.484954214	-74.073923036	3522.3	Exel2	
T	4.482687171	-74.071079477	3369.4		
T	4.481850852	-74.068821872	3307.5		
T	4.480037918	-74.066548106	3264.2		
T	4.477318724	-74.063137881	3224.2		
T	4.475506053	-74.060864664	3219.6		
T	4.474146622	-74.059159899	3199.8		
T	4.471427932	-74.055750733	3143.9		
T	4.469615593	-74.053478217	3066.1		
T	4.468256408	-74.051773974	2993.0		
T	4.465991212	-74.048933820	2918.3		
T	4.463726182	-74.046094011	2863.0		
T	4.462367233	-74.044390278	2830.0		
T	4.460555379	-74.042118807	2784.8		
T	4.457837780	-74.038711994	2714.3		
T	4.455573261	-74.035873318	2658.9		
T	4.453308898	-74.033034974	2605.1		
T	4.450591839	-74.029629362	2560.2		
T	4.448327763	-74.026791677	2483.9		
T	4.446063835	-74.023954315	2399.4		
T	4.444252777	-74.021684630	2273.2		
T	4.441536354	-74.018280469	2186.8		
T	4.438737034	-74.015979860	2130.8		
T	4.436925772	-74.013710216	2088.7		
T	4.434661816	-74.010873434	2068.8		
T	4.431321952	-74.009104949	1923.5		
T	4.429509955	-74.006834631	1875.9		
T	4.427245040	-74.003996960	1879.8		
T	4.424439999	-74.001691732	1878.1		
T	4.423080794	-73.999988937	1861.3		
T	4.421268578	-73.997718691	1866.1		
T	4.418550389	-73.994313657	1888.2		
T	4.415832350	-73.990909010	1988.0		
T	4.412661485	-73.986937398	1914.6		
T	4.410849646	-73.984668133	1895.1		
T	4.408132012	-73.981264555	1827.3		
T	4.406320326	-73.978995700	1863.7		
T	4.404508698	-73.976727008	1910.3		
T	4.402244256	-73.973891382	1997.8		
T	4.399979887	-73.971055984	2104.3		
T	4.398168456	-73.968787846	2153.0		
T	4.395904253	-73.965952905	2188.0		
T	4.393187311	-73.962551283	2202.1		
T	4.390470481	-73.959150001	2241.2		
T	4.387753746	-73.955749034	2349.7		
T	4.385489897	-73.952915168	2192.4		
T	4.383678860	-73.950648227	2186.2		
T	4.380962393	-73.947248091	2261.4		
T	4.379151464	-73.944981504	2164.9		
T	4.376435153	-73.941581893	2259.7		
T	4.374171626	-73.938749116	2333.4		
T	4.371908157	-73.935916550	2410.6		
T	4.369192073	-73.932517749	2585.8		
T	4.367381388	-73.930252038	2570.6		
T	4.364665430	-73.926853725	2318.7		
T	4.361949542	-73.923455696	2144.3		
T	4.359686352	-73.920624218	2043.1		
T	4.356863724	-73.918300859	1939.2		
T	4.354599978	-73.915468938	1807.1		
T	4.352789006	-73.913203531	1763.9		
T	4.350072601	-73.909805652	1597.4		
T	4.347808965	-73.906974281	1538.0		
T	4.345092641	-73.903576865	1492.7		
T	4.341923660	-73.899613543	1439.2		
T	4.340112831	-73.897348930	1478.9		
T	4.337396624	-73.893952221	1595.4		
T	4.335133139	-73.891121808	1716.7		
T	4.332869674	-73.888291555	1573.3		
T	4.330153541	-73.884895465	1711.8		
T	4.327890110	-73.882065558	1726.1		
T	4.326079371	-73.879801737	1706.2		
T	4.323363282	-73.876406195	1666.0		
T	4.321099876	-73.873576729	1581.3		
T	4.319741838	-73.871879124	1531.3		
T	4.315549035	-73.867845851	1417.5		
T	4.312712646	-73.865508918	1359.5		
T	4.310900898	-73.863244494	1321.2		
T	4.309542086	-73.861546233	1302.0		
T	4.305343951	-73.857508482	1407.3		
T	4.302956201	-73.855734068	1393.9		
T	4.299660407	-73.852825731	1417.5		
T	4.296940398	-73.849426932	1336.0		
T	4.294673701	-73.846594726	1369.3		
T	4.292860330	-73.844329044	1362.2		
T	4.290140246	-73.840930653	1372.8		
T	4.287420127	-73.837532420	1358.4		
T	4.285606691	-73.835267012	1380.5		
T	4.282886505	-73.831869028	1383.4		
T	4.280166272	-73.828471185	1350.9		
T	4.278352754	-73.826206031	1493.2		
T	4.275632435	-73.822808414	1437.6		
T	4.272912059	-73.819410927	1755.1		
T	4.270191621	-73.816013562	1950.9		
T	4.267924539	-73.813182515	1904.7		
T	4.265657411	-73.810351548	1857.6		
T	4.262936791	-73.806954489	2049.5		
T	4.260669550	-73.804123687	1895.8		
T	4.257948788	-73.800726817	1858.5		
T	4.255227943	-73.797330044	1588.1		
T	4.252960506	-73.794499469	1755.6		
T	4.250239498	-73.791102858	2056.8		
T	4.248425442	-73.788838497	2219.3		
T	4.245704274	-73.785442020	2132.3		
T	4.243436557	-73.782611678	2316.6		
T	4.240715202	-73.779215333	2552.5		
T	4.238447323	-73.776385093	2622.1		
T	4.236179366	-73.773554895	2460.0		
T	4.233911329	-73.770724735	2367.6		
T	4.231643209	-73.767894612	2295.9		
T	4.229375007	-73.765064523	2124.8		
T	4.227106716	-73.762234463	1994.6		
T	4.224384650	-73.758838427	1752.2		
T	4.221516973	-73.756470435	1480.5		
T	4.218793872	-73.753073480	1391.2		
T	4.216524515	-73.750242703	1539.8		
T	4.214255058	-73.747411941	1316.4		
T	4.211531577	-73.744015046	1158.5		
T	4.209261892	-73.741184305	1163.0		
T	4.206538128	-73.737787422	1035.4		
T	4.204722198	-73.735522836	906.8		
T	4.201998168	-73.732125954	857.4		
T	4.199728016	-73.729295216	813.2		
T	4.197003683	-73.725898323	853.9		
T	4.194733272	-73.723067565	883.6		
T	4.192916851	-73.720802945	793.9		
T	4.190646218	-73.717972160	746.4		
T	4.188375458	-73.715141356	782.3		
T	4.186558762	-73.712876703	802.9		
T	4.184741975	-73.710612025	850.9		
T	4.182016643	-73.707214985	876.9		
T	4.179291115	-73.703817903	833.7		
T	4.177019688	-73.700986961	879.7		
T	4.174748121	-73.698155983	928.7		
T	4.172476411	-73.695324965	998.6		
T	4.170204555	-73.692493905	857.8		
T	4.168386962	-73.690229021	938.5		
T	4.165660400	-73.686831647	1046.8		
T	4.162933618	-73.683434200	1230.4		
T	4.160661127	-73.680602931	1198.4		
T	4.158388479	-73.677771604	1161.6		
T	4.156570243	-73.675506496	1121.8		
T	4.153842702	-73.672108768	1034.8		
T	4.151569568	-73.669277251	928.4		
T	4.149750937	-73.667011985	829.3		
T	4.147022797	-73.663614008	689.0		
T	4.144749155	-73.660782276	597.6		
T	4.142020559	-73.657384098	589.5		
T	4.140656158	-73.655684955	577.0		
T	4.137472326	-73.651720198	547.3		
T	4.135652828	-73.649454538	537.1		
T	4.133378294	-73.646622386	514.8		
T	4.130648610	-73.643223686	492.5		
T	4.128373665	-73.640391327	475.9		
T	4.126098521	-73.637558860	461.7		
T	4.124733348	-73.635859338	447.1		
T	4.122457909	-73.633026725	437.1		
T	4.120637407	-73.630760547	427.9		
T	4.118816778	-73.628494299	421.4		
T	4.116996035	-73.626227998	414.6		
T	4.114719902	-73.623394992	410.5		
T	4.112898851	-73.621128507	402.0		
T	4.111077667	-73.618861945	392.9		
T	4.108801011	-73.616028648	392.8		
T	4.106524144	-73.613195227	394.5		
T	4.105157903	-73.611495090	393.6		
T	4.102880693	-73.608661464	397.5		
T	4.101058759	-73.606394457	390.5		
T	4.099236685	-73.604127364	390.9		
T	4.096958905	-73.601293388	395.8		
T	4.094680886	-73.598459254	388.8		
T	4.091765376	-73.596041232	394.5		
T	4.089942079	-73.593773063	393.8		
T	4.087023893	-73.591352750	392.4		
T	4.084559937	-73.589498327	387.8		
T	4.081637994	-73.587075121	386.5		
T	4.079170658	-73.585218215	386.0		
T	4.077344367	-73.582946915	385.7		
T	4.075061280	-73.580107640	384.2		
T	4.072777964	-73.577268220	383.9		
T	4.070951124	-73.574996552	381.9		
T	4.068667361	-73.572156830	376.9		
T	4.066840160	-73.569884917	373.3		
T	4.065012797	-73.567612892	372.3		
T	4.062728373	-73.564772716	369.4		
T	4.060900640	-73.562500434	367.2		
T	4.059072740	-73.560228036	372.7		
T	4.057244673	-73.557955519	364.8		
T	4.055873516	-73.556251058	371.1		
T	4.053130913	-73.552841931	365.8		
